version,group,bench_simple,bench_full,mode,mean,unit,timestamp,datetime
old,Cypher,GroupingAndAggregation.executePlan,"GroupingAndAggregation.executePlan_(distinctCount,10000)_(propertyType,small_string)_(runtime,compiled-bytecode)",LATENCY,68.09557449,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,VarExpandWithPredicates.executePlan,"VarExpandWithPredicates.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,78257.88327,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,VarExpandWithPredicates.executePlan,"VarExpandWithPredicates.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,75564.58086,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,VarExpandWithPredicates.executePlan,"VarExpandWithPredicates.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,80235.3578,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,VarExpandWithPredicates.executePlan,"VarExpandWithPredicates.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,78714.22355,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,slotted)",LATENCY,1905.658721,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,slotted)",LATENCY,1962.794462,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,slotted)",LATENCY,1865.346799,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,ExpandInto.executePlan,"ExpandInto.executePlan_(runtime,slotted)",LATENCY,1916.890135,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,79841.65246,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,76683.06193,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,78266.83112,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,VarExpand.executePlan,"VarExpand.executePlan_(auth,false)_(degree,10)_(length,3)_(minDepth,2)_(runtime,interpreted)_(user,full)",LATENCY,87026.77484,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.001)",LATENCY,0.09991776825,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.001)",LATENCY,0.1013021962,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.001)",LATENCY,0.09843103447,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,IndexSeek.executePlan,"IndexSeek.executePlan_(propertyType,long)_(runtime,slotted)_(selectivity,0.001)",LATENCY,0.1018038762,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,100)",LATENCY,27.69640014,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,100)",LATENCY,25.74546547,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,100)",LATENCY,24.55247041,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,MapProjection.executePlan,"MapProjection.executePlan_(engine,INTERPRETED)_(includeAllProps,true)_(size,100)",LATENCY,26.16063448,ms,1575228520664,01/12/2019 19:28:41
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,small_string)_(runtime,slotted)",LATENCY,103.6506603,ms,1576452190236,15/12/2019 23:23:10
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,small_string)_(runtime,slotted)",LATENCY,104.4397967,ms,1576214538490,13/12/2019 05:22:18
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,small_string)_(runtime,slotted)",LATENCY,104.7884432,ms,1575788177503,08/12/2019 06:56:18
old,Cypher,IndexScan.executePlan,"IndexScan.executePlan_(propertyType,small_string)_(runtime,slotted)",LATENCY,105.9104101,ms,1575228520664,01/12/2019 19:28:41
